gene_id,SRR11829692,SRR11829707,SRR11829697,SRR11829693,SRR11829691,SRR11829684,SRR11829694,SRR11829688,SRR11829683,SRR11829685,SRR11829700,SRR11829705,SRR11829703,SRR11829689,SRR11829698,SRR11829702,SRR11829704,SRR11829696,SRR11829699,SRR11829695,SRR11829687,SRR11829709,SRR11829708,SRR11829701,SRR11829706,SRR11829690,SRR11829686
ANIA_00005,65,248,209,95,139,130,117,104,185,252,106,88,181,312,119,258,311,175,55,154,304,164,34,130,48,27,139
ANIA_00006,1749,1162,2879,1214,1102,1290,1599,2319,1119,910,629,1855,3393,2391,502,2201,3905,2029,1667,2042,2490,1289,1049,813,1483,1258,771
ANIA_00007,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
ANIA_00009,7,3,1,11,7,3,12,11,23,6,11,1,5,2,3,2,0,5,1,10,5,3,1,11,2,27,20
ANIA_00012,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
ANIA_00014,1,0,3,0,0,3,1,3,0,1,0,0,0,0,1,0,0,0,6,0,0,0,2,0,2,0,0
ANIA_00015,3,3,9,0,67,0,0,1,1,1,1,2,1,7,0,2,2,4,51,15,3,0,26,0,20,1,0
ANIA_00016,1,0,4,2,5,4,5,4,1,4,4,2,1,1,0,4,2,0,5,4,2,9,0,1,8,2,12
ANIA_00017,43,20,58,33,19,35,14,51,50,17,27,45,54,46,35,32,39,81,84,86,32,39,70,24,70,30,41
ANIA_00019,52,88,349,45,42,87,49,77,74,33,32,152,335,129,60,94,247,411,108,620,73,90,73,48,76,68,58
ANIA_00020,5,3,0,99,154,1,59,7,5,6,6,1,1,2,1,7,1,0,5,0,13,4,7,2,13,45,2
ANIA_00021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,5,0,0
ANIA_00022,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,0
ANIA_00023,24,11,267,5,7,20,7,34,13,8,9,109,200,33,7,15,125,373,23,492,18,21,12,8,19,1,4
ANIA_00024,2,1,134,0,4,0,1,7,3,1,1,46,35,13,0,17,56,121,4,140,10,2,0,1,5,0,0
ANIA_00025,0,0,30,0,1,0,0,0,0,0,0,1,9,0,0,0,6,63,2,94,0,0,2,0,3,0,0
ANIA_00026,0,0,142,0,0,0,0,2,0,1,0,7,37,0,1,0,25,212,0,525,0,0,0,0,0,0,0
ANIA_00027,2,0,94,1,3,0,2,3,2,2,0,9,8,1,0,1,6,153,8,119,2,0,7,0,3,0,1
ANIA_00028,0,0,9,1,2,2,0,7,1,0,0,3,5,3,0,3,2,14,19,21,5,0,7,1,18,0,0
ANIA_00029,2,0,3,2,3,2,0,0,3,2,1,1,2,2,2,1,2,8,4,9,1,0,5,3,4,1,2
ANIA_00030,137,41,681,18,21,23,57,181,14,24,17,535,1383,319,18,135,559,997,39,2383,51,29,36,18,31,19,27
ANIA_00031,599,791,501,802,663,1085,801,703,1572,695,1058,863,751,867,1066,568,886,510,856,753,634,1091,680,857,651,646,1150
ANIA_00032,17,9,24,6,4,18,12,10,15,4,12,14,9,4,11,3,19,25,41,22,3,9,36,9,32,6,10
ANIA_00033,192,147,464,81,53,318,162,236,204,106,220,403,487,121,144,77,506,495,390,683,123,181,242,159,264,92,220
ANIA_00034,1152,265,5289,167,106,958,205,1903,408,369,422,2362,3590,711,390,365,3319,7281,671,8633,553,327,336,445,508,440,581
